Tenure_Years,Total_Amount,total_renewal_score_new,sustainability_score,anchoring_score,Current_Anchorings,Call_Direction,Renewal_Impact_Due_to_Price_Increase,Band,prospect_outcome,score_per_tenure,is_low_tenure,score_category,label,churn_probability,prediction
2,4237.0,34.0,8.0,9.0,2,OUT_BOUND,No,Group,1,11.333333333333334,1,Medium,1,0.9475714,1
3,2409.0,33.5,8.0,9.0,2,OUT_BOUND,No,Band G,1,8.375,1,Medium,1,0.99567705,1
3,1184.5,33.5,8.0,9.0,2,OUT_BOUND,No,Band F2,1,8.375,1,Medium,1,0.9997999,1
1,1654.4,32.5,8.0,9.0,2,OUT_BOUND,No,Band F2,1,16.25,1,Medium,1,0.99072134,1
0,1104.5,34.0,8.0,9.0,2,OUT_BOUND,Yes,Band F1,1,34.0,1,Medium,1,0.9999546,1
2,1024.5,33.0,8.0,9.0,2,OUT_BOUND,Yes,Band F1,1,11.0,1,Medium,1,0.9998882,1
0,249.0,40.5,8.0,9.0,2,OUT_BOUND,Yes,Band A,1,40.5,1,Medium,1,0.9980045,1
9,639.0,34.5,8.0,9.0,2,OUT_BOUND,No,Band B,1,3.45,0,Medium,1,0.97453237,1
2,599.0,33.0,8.0,9.0,2,OUT_BOUND,Yes,Band B,1,11.0,1,Medium,1,0.99792236,1
11,399.0,34.5,8.0,9.0,2,OUT_BOUND,Yes,Band B,1,2.875,0,Medium,1,0.99532604,1
8,567.0,34.5,8.0,9.0,2,Outbound,No,Band B,1,3.8333333333333335,0,Medium,1,0.817722,1
4,704.0,33.5,8.0,9.0,2,Outbound,No,Band B,1,6.7,0,Medium,1,0.5819463,1
1,499.0,32.5,8.0,9.0,2,Outbound,No,Band B,1,16.25,1,Medium,1,0.95147794,1
2,764.0,41.0,8.0,9.0,2,OUT_BOUND,No,Band B,1,13.666666666666666,1,Medium,1,0.36614403,0
2,1469.0,33.0,8.0,9.0,2,OUT_BOUND,No,Band E,1,11.0,1,Medium,1,0.9984149,1
8,949.0,35.5,8.0,9.0,2,OUT_BOUND,No,Band C2,1,3.9444444444444446,0,Medium,1,0.9456952,1
2,623.4,33.0,8.0,9.0,2,OUT_BOUND,Yes,Band C2,1,11.0,1,Medium,1,0.99866104,1
4,1159.0,33.5,8.0,9.0,2,Outbound,No,Band D,1,6.7,0,Medium,1,0.89163566,1
7,949.0,35.5,8.0,9.0,2,Outbound,No,Band C2,1,4.4375,0,Medium,1,0.63739073,1
3,1349.0,42.5,8.0,9.0,2,IN_BOUND,No,Band D,1,10.625,1,Medium,1,0.15422414,0
1,786.2,32.5,8.0,9.0,2,Outbound,No,Band C2,1,16.25,1,Medium,1,0.98843646,1
1,1159.0,32.5,8.0,9.0,2,OUT_BOUND,No,Band D,1,16.25,1,Medium,1,0.99779934,1
1,699.4,32.5,8.0,9.0,2,OUT_BOUND,No,Band C1,1,16.25,1,Medium,1,0.99790406,1
1,1202.2,32.5,8.0,9.0,2,OUT_BOUND,No,Band E,1,16.25,1,Medium,1,0.9976012,1
1,1499.0,32.5,8.0,9.0,2,Outbound,No,Band E,1,16.25,1,Medium,1,0.9814083,1
1,851.8,32.5,8.0,9.0,2,OUT_BOUND,No,Band D,1,16.25,1,Medium,1,0.9991671,1
1,1309.0,32.5,8.0,9.0,2,OUT_BOUND,Yes,Band D,1,16.25,1,Medium,1,0.9968767,1
1,1309.0,32.0,8.0,9.0,2,OUT_BOUND,No,Band D,1,16.0,1,Medium,1,0.99978715,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967337,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,IN_BOUND,No,Band B,1,16.0,1,Medium,1,0.99740237,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.9966336,1
1,684.0,33.0,8.0,8.5,1,Outbound,Yes,Band B,1,16.5,1,Medium,1,0.9469943,1
1,684.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9986413,1
1,684.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9986413,1
1,684.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9986413,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.9966336,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,31.5,8.0,8.5,1,OUT_BOUND,No,Band B,1,15.75,1,Medium,1,0.98313046,1
1,684.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,684.0,33.0,8.0,8.5,1,Outbound,No,Band B,1,16.5,1,Medium,1,0.9274677,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.99859935,1
1,704.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.99859935,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99966335,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99928963,1
1,704.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.99652976,1
1,704.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.99652976,1
1,704.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.99652976,1
1,704.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.99652976,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99911386,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99911386,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99957997,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99911386,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99957997,1
1,599.0,32.0,8.0,8.5,1,Outbound,Yes,Band B,1,16.0,1,Medium,1,0.99832994,1
1,599.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9963272,1
1,599.0,33.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.5,1,Medium,1,0.99588555,1
1,599.0,33.0,8.0,8.5,1,Outbound,No,Band B,1,16.5,1,Medium,1,0.8304771,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99911386,1
1,599.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99911386,1
1,599.0,40.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.0,1,Medium,1,0.5491357,1
1,199.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.5,1,Medium,1,0.999843,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967265,1
1,423.0,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.5,1,Medium,1,0.9312248,1
1,419.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9994993,1
1,449.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9989041,1
1,419.0,41.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,20.5,1,Medium,1,0.42922515,0
1,369.0,42.0,8.0,8.5,1,IN_BOUND,Yes,Band B,1,21.0,1,Medium,1,0.921813,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9995646,1
1,531.0,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.5,1,Medium,1,0.80899435,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967265,1
1,477.0,40.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.0,1,Medium,1,0.8732613,1
1,631.0,41.0,8.0,8.5,1,IN_BOUND,No,Band B,1,20.5,1,Medium,1,0.5816066,1
1,359.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9983504,1
1,604.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9997365,1
1,583.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99962544,1
1,522.5,33.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.5,1,Medium,1,0.9987674,1
1,450.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99958295,1
1,764.0,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.5,1,Medium,1,0.8821378,1
1,764.0,40.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.0,1,Medium,1,0.7493787,1
1,764.0,41.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.5,1,Medium,1,0.51653033,1
1,639.0,42.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,21.0,1,Medium,1,0.30172074,0
1,639.0,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.5,1,Medium,1,0.8069852,1
1,739.0,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,20.5,1,Medium,1,0.8434711,1
1,639.0,41.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.5,1,Medium,1,0.5408208,1
1,739.0,41.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.5,1,Medium,1,0.60285944,1
1,639.0,32.0,8.0,8.5,1,IN_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9983752,1
1,639.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,764.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99924314,1
1,639.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967337,1
1,639.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,764.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99924314,1
1,739.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999405,1
1,639.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.999311,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9995646,1
1,401.5,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99927443,1
1,522.5,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99907804,1
1,613.25,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9995832,1
1,449.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.999297,1
1,391.5,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9995895,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9995646,1
1,449.0,32.0,8.0,8.5,1,IN_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9985745,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967265,1
1,499.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9990471,1
1,391.5,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9993662,1
1,499.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99814355,1
1,391.5,32.0,8.0,8.5,1,IN_BOUND,No,Band B,1,16.0,1,Medium,1,0.99781054,1
1,391.5,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9993662,1
1,479.25,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9993556,1
1,567.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99931073,1
1,567.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99865675,1
1,449.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.999297,1
1,391.5,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9993662,1
1,349.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967265,1
1,499.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99814355,1
1,449.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9989041,1
1,499.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9990471,1
1,459.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.99781907,1
1,299.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9997912,1
1,279.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9997912,1
1,399.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.99934644,1
1,459.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.99781907,1
1,459.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.99781907,1
1,399.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.99934644,1
1,219.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9997912,1
1,544.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9992418,1
1,294.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.999775,1
1,344.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.99882823,1
1,631.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9995832,1
1,531.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99943393,1
1,477.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.9984332,1
1,631.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.9997365,1
1,369.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99956244,1
1,279.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.999775,1
1,567.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.99487877,1
1,499.0,32.0,8.0,8.5,1,Outbound,Yes,Band B,1,16.0,1,Medium,1,0.99646217,1
1,351.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.0,1,Medium,1,0.9983504,1
1,499.0,32.0,8.0,8.5,1,Outbound,Yes,Band B,1,16.0,1,Medium,1,0.99646217,1
1,494.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.9950623,1
1,279.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.0,1,Medium,1,0.999775,1
1,349.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.9987896,1
1,401.5,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99951446,1
1,399.0,32.0,8.0,8.5,1,Outbound,Yes,Band B,1,16.0,1,Medium,1,0.9978231,1
1,764.0,39.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,19.5,1,Medium,1,0.76122224,1
1,739.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9988268,1
1,459.0,33.0,8.0,8.5,1,Inbound,Yes,Band A,1,16.5,1,Medium,1,0.8427299,1
1,462.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.99881136,1
1,504.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.5,1,Medium,1,0.99065125,1
1,450.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9995648,1
1,301.5,33.0,8.0,8.5,1,OUT_BOUND,No,Band A,1,16.5,1,Medium,1,0.999843,1
1,596.25,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.99832886,1
1,567.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.5,1,Medium,1,0.9962288,1
1,249.0,33.0,8.0,8.5,1,Inbound,Yes,Band A,1,16.5,1,Medium,1,0.9859021,1
1,349.0,33.0,8.0,8.5,1,IN_BOUND,No,Band B,1,16.5,1,Medium,1,0.99457103,1
1,382.5,33.0,8.0,8.5,1,OUT_BOUND,Yes,Band A,1,16.5,1,Medium,1,0.9951113,1
1,454.0,33.0,8.0,8.5,1,Outbound,No,Band B,1,16.5,1,Medium,1,0.98425055,1
1,583.0,33.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.5,1,Medium,1,0.9981274,1
1,369.0,40.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,20.0,1,Medium,1,0.9579817,1
1,499.0,33.5,8.0,8.5,1,Outbound,No,Band B,1,16.75,1,Medium,1,0.7658011,1
1,349.0,31.5,8.0,8.5,1,OUT_BOUND,No,Band B,1,15.75,1,Medium,1,0.9985594,1
1,539.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band B,1,16.0,1,Medium,1,0.99943393,1
1,449.0,32.0,8.0,8.5,1,Outbound,No,Band B,1,16.0,1,Medium,1,0.9903105,1
1,639.0,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band B,1,16.0,1,Medium,1,0.99967337,1
1,919.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.5,1,Medium,1,0.9967726,1
1,919.0,33.0,8.0,8.5,1,OUT_BOUND,Yes,Band C1,1,16.5,1,Medium,1,0.99739134,1
1,799.0,33.0,8.0,8.5,1,Outbound,No,Band C1,1,16.5,1,Medium,1,0.94115496,1
1,919.0,33.0,8.0,8.5,1,Outbound,No,Band C1,1,16.5,1,Medium,1,0.898973,1
1,949.0,33.0,8.0,8.5,1,Outbound,No,Band C1,1,16.5,1,Medium,1,0.8560423,1
1,599.8,33.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.5,1,Medium,1,0.99925035,1
1,1499.0,33.0,8.0,8.5,1,Outbound,No,Band E,1,16.5,1,Medium,1,0.95513177,1
1,533.4,33.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.5,1,Medium,1,0.99903524,1
1,1499.0,33.0,8.0,8.5,1,Outbound,No,Band E,1,16.5,1,Medium,1,0.95513177,1
1,1309.0,33.0,8.0,8.5,1,Outbound,No,Band D,1,16.5,1,Medium,1,0.92533505,1
1,999.0,33.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.5,1,Medium,1,0.9979779,1
1,919.0,39.0,8.0,8.5,1,OUT_BOUND,Yes,Band C1,1,19.5,1,Medium,1,0.8777978,1
1,704.5,41.0,8.0,8.5,1,OUT_BOUND,No,Band C2,1,20.5,1,Medium,1,0.9380454,1
1,695.4,40.0,8.0,8.5,1,OUT_BOUND,No,Band C2,1,20.0,1,Medium,1,0.96150964,1
1,687.0,41.0,8.0,8.5,1,IN_BOUND,No,Band C2,1,20.5,1,Medium,1,0.8161544,1
1,863.4,41.0,8.0,8.5,1,IN_BOUND,No,Band D,1,20.5,1,Medium,1,0.85280937,1
1,1145.8,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band E,1,20.5,1,Medium,1,0.9325084,1
1,385.0,31.5,8.0,8.5,1,OUT_BOUND,No,Band B,1,15.75,1,Medium,1,0.9985317,1
1,1139.0,40.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,20.0,1,Medium,1,0.6888709,1
1,1174.0,41.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,20.5,1,Medium,1,0.43633026,0
1,1243.8,41.0,8.0,8.5,1,OUT_BOUND,Yes,Band E,1,20.5,1,Medium,1,0.7720039,1
1,999.0,40.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,20.0,1,Medium,1,0.7133672,1
1,947.4,40.0,8.0,8.5,1,OUT_BOUND,No,Band D,1,20.0,1,Medium,1,0.8634967,1
1,919.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.0,1,Medium,1,0.998279,1
1,799.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.0,1,Medium,1,0.9992403,1
1,919.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band C1,1,16.0,1,Medium,1,0.998279,1
1,919.0,32.0,8.0,8.5,1,Outbound,No,Band C1,1,16.0,1,Medium,1,0.9949713,1
1,1159.0,32.0,8.0,8.5,1,OUT_BOUND,No,Band D,1,16.0,1,Medium,1,0.9993655,1
1,605.4,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band C1,1,16.0,1,Medium,1,0.9997719,1
1,1069.0,32.0,8.0,8.5,1,Outbound,No,Band C2,1,16.0,1,Medium,1,0.9945615,1
1,533.4,32.0,8.0,8.5,1,IN_BOUND,Yes,Band C1,1,16.0,1,Medium,1,0.9993773,1
1,786.2,32.0,8.0,8.5,1,OUT_BOUND,Yes,Band C2,1,16.0,1,Medium,1,0.9997856,1
